,AAPL,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TLT,TSLA
2018-01-22,41.375091552734375,66.3655014038086,57.73085021972656,183.9266357421875,83.88246154785156,5.777209758758545,159.34979248046875,248.8141326904297,97.26980590820312,23.437332153320312
2018-01-23,41.38443374633789,68.12699890136719,58.32643508911133,187.8756561279297,84.14802551269531,5.90625524520874,160.66725158691406,249.3421173095703,97.68830871582031,23.519332885742188
2018-01-24,40.72523498535156,67.87550354003906,58.084434509277344,185.09744262695312,84.0747299194336,5.829370975494385,159.6246337890625,249.24537658691406,97.15927124023438,23.05933380126953
2018-01-25,39.99825668334961,68.89749908447266,58.62248611450195,186.02020263671875,84.54171752929688,5.842968463897705,159.5677947998047,249.3509063720703,97.95679473876953,22.50933265686035
2018-01-26,40.091758728027344,70.10250091552734,58.89126205444336,188.52056884765625,86.12580871582031,6.015526294708252,162.01319885253906,252.23793029785156,97.59354400634766,22.856666564941406
2018-01-29,39.26192092895508,70.88400268554688,58.83770751953125,184.53187561035156,85.99760437011719,6.102546215057373,161.22645568847656,250.56552124023438,96.91452026367188,23.302000045776367
2018-01-30,39.0305061340332,71.89099884033203,58.38594436645508,185.66299438476562,84.91715240478516,6.000444412231445,159.89952087402344,247.99551391601562,96.34590148925781,23.05466651916504
2018-01-31,39.13802719116211,72.54450225830078,58.62644958496094,185.43479919433594,86.99567413330078,6.0765886306762695,160.5630340576172,248.11878967285156,96.91452026367188,23.62066650390625
2018-02-01,39.2198371887207,69.5,58.59520721435547,191.58653259277344,86.30894470214844,5.945563793182373,159.19813537597656,247.8370819091797,95.5098876953125,23.28333282470703
2018-02-02,37.51809310913086,71.49749755859375,55.50128173828125,188.79843139648438,84.03813171386719,5.773006439208984,156.02288818359375,242.4417266845703,94.62367248535156,22.916667938232422
2018-02-05,36.580711364746094,69.5,52.68406677246094,179.84864807128906,80.57701110839844,5.283022880554199,149.8714141845703,232.3021240234375,95.51782989501953,22.208667755126953
2018-02-06,38.10950469970703,72.14199829101562,53.77703094482422,183.8671112060547,83.62610626220703,5.576714992523193,153.84288024902344,236.8789825439453,94.92435455322266,22.264667510986328
2018-02-07,37.293678283691406,70.83899688720703,52.337928771972656,178.77703857421875,82.05120086669922,5.656320095062256,151.85240173339844,235.59400939941406,94.02227020263672,23.0
2018-02-08,36.26749038696289,67.5250015258789,49.97248077392578,170.2440185546875,77.83919525146484,5.3774590492248535,145.445068359375,226.7571563720703,93.9194107055664,21.01533317565918
2018-02-09,36.71108627319336,66.9800033569336,51.884674072265625,174.73875427246094,80.7417984008789,5.737407207489014,147.95680236816406,230.16339111328125,93.32592010498047,20.69466781616211
2018-02-12,38.18977355957031,69.3115005493164,52.29578399658203,175.03640747070312,81.61165618896484,5.637282848358154,150.582275390625,233.5431671142578,93.7374038696289,21.048667907714844
2018-02-13,38.57233428955078,70.72550201416016,52.27494812011719,171.80178833007812,82.25262451171875,5.751003265380859,151.35951232910156,234.1241455078125,94.15680694580078,21.577333450317383
2018-02-14,39.28351593017578,72.55249786376953,53.19533920288086,178.12220764160156,83.5405502319336,5.968306064605713,154.1935272216797,237.28382873535156,93.11225891113281,21.487333297729492
