,portfolio
2020-05-05,0.010074583253829202
2020-05-06,0.00902954955070553
2020-05-07,0.011983257261763256
2020-05-08,0.01760750241796724
2020-05-11,0.012656888518076934
2020-05-12,-0.018914106626306756
2020-05-13,-0.011922456736856478
2020-05-14,0.013060951454871683
2020-05-15,0.016654378009328338
2020-05-18,0.01719397616844086
2020-05-19,5.6554179501540965e-05
2020-05-20,0.021726200166484112
2020-05-21,-0.008011217007602421
2020-05-22,0.0073549062254298836
2020-05-26,-0.010121679506802279
2020-05-27,-0.004395448082813517
2020-05-28,-0.005267722165600609
2020-05-29,0.017598679149820103
2020-06-01,0.011952657570276744
2020-06-02,0.002456473949374314
2020-06-03,-0.0004493481082352344
2020-06-04,-0.010112331682871905
2020-06-05,0.02018824045458624
2020-06-08,0.009891182879216342
2020-06-09,0.016918928471858767
2020-06-10,0.027709823938446662
2020-06-11,-0.04938564840254417
2020-06-12,0.004489592100117789
2020-06-15,0.018360485318311782
2020-06-16,0.010463685020063299
2020-06-17,0.006309957332470054
2020-06-18,0.0022137535538131626
2020-06-19,-5.292763551497112e-05
2020-06-22,0.017307083287424578
2020-06-23,0.007736488362570127
2020-06-24,-0.022591826368580765
2020-06-25,0.01492645055704564
2020-06-26,-0.03502253848155915
2020-06-29,0.016408454316949515
2020-06-30,0.027004616473941766
2020-07-01,0.016271300455504897
2020-07-02,0.011922072984302184
2020-07-06,0.037601218797156326
2020-07-07,-0.0029268152504832324
2020-07-08,0.01748612028826009
2020-07-09,0.01447131728070723
2020-07-10,0.012759842209443217
2020-07-13,-0.024756585524858585
2020-07-14,0.012310148295924783
2020-07-15,-0.0021933060746465016
2020-07-16,-0.009991009256543538
2020-07-17,-0.0002801304797481788
2020-07-20,0.03887558596749544
2020-07-21,-0.01612906404507848
2020-07-22,0.005263742346036244
2020-07-23,-0.03515754869999559
2020-07-24,-0.007595842635213921
2020-07-27,0.023541405826787258
2020-07-28,-0.01735314973360404
2020-07-29,0.015548015248510917
2020-07-30,0.005969600936218848
2020-07-31,0.02223126844328549
2020-08-03,0.021419819889860785
2020-08-04,0.0027134088216054894
2020-08-05,0.0036432593348442906
2020-08-06,0.018508015551979323
2020-08-07,-0.012442165354518286
2020-08-10,-0.006579653345863044
2020-08-11,-0.023788168897402408
2020-08-12,0.04046305152357994
2020-08-13,0.007504345922565339
2020-08-14,0.0026190296326793964
2020-08-17,0.027562288269962654
2020-08-18,0.011366634431643792
2020-08-19,-0.005897392877433958
2020-08-20,0.01980129143909254
2020-08-21,0.017316252239048053
2020-08-24,0.004702099642230807
2020-08-25,0.007860784292092643
2020-08-26,0.026580827017325476
2020-08-27,-0.0024092253539564987
2020-08-28,0.009728348174591553
2020-08-31,0.01976746044113845
